Date,Equipment_ID,Equipment_Type,Department,Available_Hours,Actual_Operating_Hours,Utilization_Rate,Number_of_Procedures,Daily_Operating_Cost,Maintenance_Cost,Procedure_Revenue,Day_of_Week,Month,Is_Weekend,Mode_of_Payment
2023-10-10,MAMMO_0216,Mammography Unit,Women's Health,12,6.3,0.53,22,5457.45,0,21458.66,Tuesday,October,False,insurance
2023-12-24,MAMMO_0217,Mammography Unit,Women's Health,17,14.8,0.87,30,7415.89,0,35863.04,Sunday,December,True,insurance
2023-04-09,MAMMO_0218,Mammography Unit,Women's Health,8,7.8,0.97,14,3422.02,0,44781.26,Sunday,April,True,insurance
2023-07-27,XRAY_0219,X-Ray Machine,Radiology,19,4.4,0.23,15,5320.86,0,14542.54,Thursday,July,False,cash
2023-05-13,MAMMO_0220,Mammography Unit,Women's Health,18,5.8,0.32,20,1847.7,0,10691.45,Saturday,May,True,insurance
2023-01-14,CT_0221,CT Scanner,Radiology,16,10.5,0.66,29,5971.01,0,31480.82,Saturday,January,True,insurance
2023-03-26,XRAY_0222,X-Ray Machine,Radiology,13,8.4,0.65,13,4677.98,0,29200.39,Sunday,March,True,insurance
2023-03-22,MRI_0223,MRI Scanner,Radiology,13,3.9,0.3,1,6798.74,0,14248.06,Wednesday,March,False,cash
2023-01-01,MRI_0224,MRI Scanner,Radiology,15,3.1,0.21,5,5362.22,0,10020.96,Sunday,January,True,insurance
2023-08-09,XRAY_0225,X-Ray Machine,Radiology,14,9.5,0.68,25,4322.81,0,8108.64,Wednesday,August,False,insurance
2023-01-14,MAMMO_0226,Mammography Unit,Women's Health,18,11.4,0.63,27,6540.48,0,2926.66,Saturday,January,True,insurance
2023-08-12,US_0227,Ultrasound,Radiology,11,10.3,0.94,35,7067.49,0,23648.97,Saturday,August,True,insurance
2023-07-25,XRAY_0228,X-Ray Machine,Radiology,11,7.3,0.66,12,5843.22,0,25902.72,Tuesday,July,False,insurance
2023-03-16,MRI_0229,MRI Scanner,Radiology,14,1.6,0.11,1,2119.71,0,27252.92,Thursday,March,False,cash
2023-07-29,MRI_0230,MRI Scanner,Radiology,16,3.7,0.23,4,6675.65,0,29384.07,Saturday,July,True,insurance
2023-04-04,XRAY_0231,X-Ray Machine,Radiology,15,13.6,0.91,13,4398.1,0,33154.16,Tuesday,April,False,cash
2023-05-29,MAMMO_0232,Mammography Unit,Women's Health,13,9.1,0.7,26,7475.82,0,31329.17,Monday,May,False,cash
2023-06-18,CT_0233,CT Scanner,Radiology,18,8.1,0.45,23,4617.59,0,11929.5,Sunday,June,True,cash
2023-01-05,MAMMO_0234,Mammography Unit,Women's Health,14,13.3,0.95,29,5500.65,0,2269.97,Thursday,January,False,cash
2023-08-22,US_0235,Ultrasound,Radiology,12,8.7,0.72,29,4291.79,0,2684.5,Tuesday,August,False,cash
2023-02-18,US_0236,Ultrasound,Radiology,12,10.1,0.84,17,1293.74,0,43732.42,Saturday,February,True,insurance
2023-09-29,CT_0237,CT Scanner,Radiology,17,10.1,0.59,8,5682.94,0,20539.91,Friday,September,False,insurance
2023-07-04,MAMMO_0238,Mammography Unit,Women's Health,9,5.7,0.63,13,661.37,0,14996.0,Tuesday,July,False,cash
2023-09-05,MAMMO_0239,Mammography Unit,Women's Health,20,3.1,0.15,27,5689.52,0,28530.83,Tuesday,September,False,insurance
2023-06-27,CT_0240,CT Scanner,Radiology,14,5.0,0.36,6,4334.51,0,29033.74,Tuesday,June,False,cash
2023-06-13,MAMMO_0241,Mammography Unit,Women's Health,10,5.1,0.51,19,3331.21,0,21483.11,Tuesday,June,False,insurance
2023-12-11,XRAY_0242,X-Ray Machine,Radiology,15,5.7,0.38,28,6772.34,0,44876.46,Monday,December,False,insurance
2023-06-17,XRAY_0243,X-Ray Machine,Radiology,9,7.7,0.86,30,4564.68,0,12685.12,Saturday,June,True,cash
2023-01-17,XRAY_0244,X-Ray Machine,Radiology,10,8.6,0.86,19,7040.44,0,21656.85,Tuesday,January,False,insurance
2023-07-19,CT_0245,CT Scanner,Radiology,13,9.7,0.75,29,2324.52,0,8643.94,Wednesday,July,False,cash
2023-09-24,MAMMO_0246,Mammography Unit,Women's Health,10,8.1,0.81,8,2939.46,0,45857.7,Sunday,September,True,insurance
2023-07-05,CT_0247,CT Scanner,Radiology,10,8.4,0.84,19,6236.26,0,25084.42,Wednesday,July,False,insurance
2023-03-23,MRI_0248,MRI Scanner,Radiology,11,1.2,0.11,3,1501.73,0,9868.51,Thursday,March,False,insurance
2023-07-25,MRI_0249,MRI Scanner,Radiology,11,3.2,0.29,3,6807.53,0,20973.09,Tuesday,July,False,insurance
2023-09-30,MAMMO_0250,Mammography Unit,Women's Health,11,10.9,0.99,24,6459.42,0,27839.44,Saturday,September,True,cash
2023-02-23,MRI_0251,MRI Scanner,Radiology,9,1.7,0.19,1,2684.84,0,8784.06,Thursday,February,False,insurance
2023-02-13,CT_0252,CT Scanner,Radiology,11,4.5,0.41,10,6405.69,0,46684.05,Monday,February,False,cash
2023-10-20,MRI_0253,MRI Scanner,Radiology,8,1.0,0.12,2,5286.91,0,34762.23,Friday,October,False,cash
2023-07-25,MAMMO_0254,Mammography Unit,Women's Health,13,5.4,0.42,22,7370.97,0,22130.37,Tuesday,July,False,cash
2023-05-25,CT_0255,CT Scanner,Radiology,12,6.0,0.5,25,3412.48,0,32845.43,Thursday,May,False,cash
2023-10-10,XRAY_0256,X-Ray Machine,Radiology,18,9.8,0.54,22,5727.18,0,45814.69,Tuesday,October,False,cash
2023-04-03,CT_0257,CT Scanner,Radiology,11,4.0,0.36,24,5474.58,0,31992.94,Monday,April,False,cash
2023-08-11,MAMMO_0258,Mammography Unit,Women's Health,8,5.6,0.7,22,6106.43,0,7609.89,Friday,August,False,insurance
2023-05-09,MAMMO_0259,Mammography Unit,Women's Health,17,6.7,0.39,28,3191.94,0,46223.92,Tuesday,May,False,insurance
2023-05-01,MRI_0260,MRI Scanner,Radiology,16,2.6,0.16,1,4745.44,0,26918.79,Monday,May,False,insurance
2023-03-19,US_0261,Ultrasound,Radiology,8,7.0,0.88,37,1461.09,0,8328.02,Sunday,March,True,cash
2023-08-11,XRAY_0262,X-Ray Machine,Radiology,8,6.7,0.84,23,2557.55,0,18149.63,Friday,August,False,insurance
2023-01-18,MRI_0263,MRI Scanner,Radiology,10,3.3,0.33,3,6320.84,0,17159.01,Wednesday,January,False,insurance
2023-10-06,CT_0264,CT Scanner,Radiology,9,6.6,0.73,16,6295.43,0,42824.23,Friday,October,False,cash
2023-05-29,US_0265,Ultrasound,Radiology,9,7.2,0.8,25,7319.45,0,38697.46,Monday,May,False,insurance
2023-02-07,MRI_0266,MRI Scanner,Radiology,11,2.5,0.23,3,2430.79,0,26771.97,Tuesday,February,False,insurance
2023-01-04,MAMMO_0267,Mammography Unit,Women's Health,20,17.7,0.89,22,958.42,0,15667.04,Wednesday,January,False,cash
2023-07-30,XRAY_0268,X-Ray Machine,Radiology,19,10.3,0.54,30,4566.81,0,20434.4,Sunday,July,True,insurance
2023-05-08,US_0269,Ultrasound,Radiology,9,8.6,0.96,24,4296.26,0,39847.57,Monday,May,False,cash
2023-08-18,US_0270,Ultrasound,Radiology,12,9.0,0.75,32,5935.18,0,28963.11,Friday,August,False,insurance
2023-06-22,XRAY_0271,X-Ray Machine,Radiology,16,4.4,0.28,11,964.3,0,22617.28,Thursday,June,False,insurance
2023-08-30,XRAY_0272,X-Ray Machine,Radiology,14,8.0,0.57,24,1790.08,0,31305.58,Wednesday,August,False,insurance
2023-03-16,XRAY_0273,X-Ray Machine,Radiology,9,4.8,0.53,11,4803.5,0,41517.99,Thursday,March,False,cash
2023-07-13,MRI_0274,MRI Scanner,Radiology,9,3.6,0.4,2,7420.61,0,8216.14,Thursday,July,False,insurance
2023-08-24,MRI_0275,MRI Scanner,Radiology,8,2.0,0.25,3,5838.88,0,32670.2,Thursday,August,False,cash
2023-04-03,MAMMO_0276,Mammography Unit,Women's Health,18,7.5,0.42,21,6357.12,0,43137.03,Monday,April,False,cash
2023-01-10,XRAY_0277,X-Ray Machine,Radiology,16,14.9,0.93,6,4286.6,0,29611.89,Tuesday,January,False,insurance
2023-07-07,US_0278,Ultrasound,Radiology,8,6.7,0.84,33,2594.4,0,37848.64,Friday,July,False,insurance
2023-03-15,MRI_0279,MRI Scanner,Radiology,16,4.0,0.25,3,1248.45,0,38871.76,Wednesday,March,False,cash
2023-08-05,MAMMO_0280,Mammography Unit,Women's Health,17,14.6,0.86,22,583.92,0,29084.15,Saturday,August,True,insurance
2023-02-17,US_0281,Ultrasound,Radiology,10,9.6,0.96,33,799.16,0,31518.58,Friday,February,False,insurance
2023-03-06,MAMMO_0282,Mammography Unit,Women's Health,15,11.3,0.75,24,1086.98,0,14272.92,Monday,March,False,insurance
2023-02-20,MAMMO_0283,Mammography Unit,Women's Health,20,9.1,0.45,27,6514.43,0,6355.67,Monday,February,False,insurance
2023-11-22,MRI_0284,MRI Scanner,Radiology,11,2.6,0.24,1,6557.13,0,9457.91,Wednesday,November,False,insurance
2023-06-04,MAMMO_0285,Mammography Unit,Women's Health,12,7.9,0.66,13,6491.71,0,45260.67,Sunday,June,True,cash
2023-12-22,MAMMO_0286,Mammography Unit,Women's Health,20,10.9,0.55,13,1844.85,0,13785.56,Friday,December,False,insurance
2023-02-24,XRAY_0287,X-Ray Machine,Radiology,17,16.5,0.97,19,3719.25,0,48797.67,Friday,February,False,cash
2023-05-14,MAMMO_0288,Mammography Unit,Women's Health,16,4.9,0.31,21,3066.0,0,20380.15,Sunday,May,True,insurance
2023-12-17,MRI_0289,MRI Scanner,Radiology,12,3.9,0.33,5,6894.57,0,8473.25,Sunday,December,True,insurance
2023-11-24,MRI_0290,MRI Scanner,Radiology,11,3.8,0.35,1,4775.1,0,37800.26,Friday,November,False,insurance
2023-01-19,MRI_0291,MRI Scanner,Radiology,16,2.4,0.15,5,6938.99,0,16723.26,Thursday,January,False,insurance
2023-10-25,US_0292,Ultrasound,Radiology,9,6.1,0.68,25,3656.24,0,37212.19,Wednesday,October,False,insurance
2023-11-21,US_0293,Ultrasound,Radiology,8,6.7,0.84,26,6355.68,0,5389.13,Tuesday,November,False,cash
2023-11-11,XRAY_0294,X-Ray Machine,Radiology,19,5.3,0.28,29,1945.58,0,41640.37,Saturday,November,True,insurance
2023-05-23,US_0295,Ultrasound,Radiology,10,8.9,0.89,40,6554.48,0,41928.96,Tuesday,May,False,cash
2023-12-06,XRAY_0296,X-Ray Machine,Radiology,9,4.7,0.52,11,6812.74,0,40789.87,Wednesday,December,False,insurance
2023-04-04,XRAY_0297,X-Ray Machine,Radiology,16,7.1,0.44,25,4545.13,0,39434.68,Tuesday,April,False,insurance
2023-07-07,US_0298,Ultrasound,Radiology,11,9.0,0.82,21,727.21,0,38202.26,Friday,July,False,insurance
2023-05-20,MAMMO_0299,Mammography Unit,Women's Health,16,12.1,0.76,25,5617.13,0,11805.77,Saturday,May,True,insurance
2023-10-29,MAMMO_0300,Mammography Unit,Women's Health,14,13.6,0.97,12,7415.66,0,40173.36,Sunday,October,True,insurance
2023-09-20,MAMMO_0301,Mammography Unit,Women's Health,14,7.6,0.54,24,5340.52,0,21710.85,Wednesday,September,False,insurance
2023-04-10,MAMMO_0302,Mammography Unit,Women's Health,17,15.0,0.88,23,1878.95,0,3121.67,Monday,April,False,cash
2023-04-21,XRAY_0303,X-Ray Machine,Radiology,16,8.9,0.56,9,3271.13,0,40920.71,Friday,April,False,insurance
2023-09-02,US_0304,Ultrasound,Radiology,12,8.1,0.67,30,7106.59,0,24144.6,Saturday,September,True,insurance
2023-03-25,MAMMO_0305,Mammography Unit,Women's Health,19,13.0,0.68,6,3042.44,0,41674.26,Saturday,March,True,cash
2023-11-17,CT_0306,CT Scanner,Radiology,12,8.2,0.68,15,4960.8,0,34379.01,Friday,November,False,insurance
2023-03-11,MRI_0307,MRI Scanner,Radiology,11,0.8,0.07,5,6804.93,0,48016.92,Saturday,March,True,insurance
2023-12-31,CT_0308,CT Scanner,Radiology,16,4.0,0.25,8,645.02,0,39542.5,Sunday,December,True,insurance
2023-02-01,CT_0309,CT Scanner,Radiology,16,9.8,0.61,11,6435.17,0,1740.64,Wednesday,February,False,insurance
2023-03-05,MRI_0310,MRI Scanner,Radiology,13,3.2,0.25,1,5989.44,0,47052.26,Sunday,March,True,insurance
2023-09-02,MAMMO_0311,Mammography Unit,Women's Health,20,11.3,0.57,17,7420.74,0,22973.13,Saturday,September,True,insurance
2023-02-25,MAMMO_0312,Mammography Unit,Women's Health,8,7.6,0.95,11,4825.35,0,28226.9,Saturday,February,True,insurance
2023-05-27,MAMMO_0313,Mammography Unit,Women's Health,18,9.5,0.53,29,988.7,0,44160.19,Saturday,May,True,insurance
2023-12-21,MAMMO_0314,Mammography Unit,Women's Health,8,6.3,0.79,24,1071.78,0,17669.59,Thursday,December,False,insurance
2023-05-27,MAMMO_0315,Mammography Unit,Women's Health,11,9.4,0.85,10,7291.27,0,48145.37,Saturday,May,True,insurance
2023-05-10,MAMMO_0316,Mammography Unit,Women's Health,12,9.5,0.79,19,4841.7,0,35998.9,Wednesday,May,False,insurance
2023-11-08,US_0317,Ultrasound,Radiology,9,6.7,0.74,36,5078.77,0,39368.04,Wednesday,November,False,insurance
2023-03-10,XRAY_0318,X-Ray Machine,Radiology,16,10.8,0.68,30,3232.12,0,4690.15,Friday,March,False,insurance
2023-09-11,MAMMO_0319,Mammography Unit,Women's Health,8,6.4,0.8,24,3495.25,0,7183.53,Monday,September,False,insurance
2023-09-05,XRAY_0320,X-Ray Machine,Radiology,18,9.8,0.54,27,4752.09,0,18779.83,Tuesday,September,False,insurance
2023-09-18,MAMMO_0321,Mammography Unit,Women's Health,15,6.9,0.46,19,6430.94,0,6343.78,Monday,September,False,insurance
2023-03-20,XRAY_0322,X-Ray Machine,Radiology,14,13.2,0.94,26,892.32,0,1903.38,Monday,March,False,cash
2023-05-03,US_0323,Ultrasound,Radiology,11,10.4,0.95,35,6391.34,0,8137.58,Wednesday,May,False,cash
2023-08-29,MRI_0324,MRI Scanner,Radiology,9,0.8,0.09,2,6211.07,0,39196.57,Tuesday,August,False,insurance
2023-01-05,CT_0325,CT Scanner,Radiology,20,18.3,0.92,16,982.94,0,16420.1,Thursday,January,False,insurance
2023-03-14,XRAY_0326,X-Ray Machine,Radiology,11,6.4,0.58,23,7280.51,0,29037.34,Tuesday,March,False,insurance
2023-10-21,MRI_0327,MRI Scanner,Radiology,11,2.3,0.21,5,2078.61,0,14925.35,Saturday,October,True,cash
2023-11-12,MAMMO_0328,Mammography Unit,Women's Health,16,14.8,0.93,12,2708.11,0,9382.71,Sunday,November,True,insurance
2023-12-21,XRAY_0329,X-Ray Machine,Radiology,14,9.4,0.67,12,962.86,0,26856.1,Thursday,December,False,insurance
2023-06-08,XRAY_0330,X-Ray Machine,Radiology,15,15.0,1.0,10,6935.72,0,1261.43,Thursday,June,False,insurance
2023-02-03,US_0331,Ultrasound,Radiology,10,7.9,0.79,38,3498.9,0,36867.02,Friday,February,False,insurance
2023-11-09,MRI_0332,MRI Scanner,Radiology,15,0.7,0.05,2,2073.99,0,47098.36,Thursday,November,False,insurance
2023-04-13,MRI_0333,MRI Scanner,Radiology,16,0.6,0.04,2,5146.04,0,47232.23,Thursday,April,False,insurance
2023-11-17,MAMMO_0334,Mammography Unit,Women's Health,13,12.1,0.93,11,2068.22,0,14018.85,Friday,November,False,insurance
2023-09-01,MRI_0335,MRI Scanner,Radiology,13,0.8,0.06,1,3554.2,0,24728.59,Friday,September,False,cash
2023-05-16,MRI_0336,MRI Scanner,Radiology,12,2.2,0.18,3,5273.86,0,29828.29,Tuesday,May,False,insurance
2023-11-28,MAMMO_0337,Mammography Unit,Women's Health,16,8.6,0.54,24,801.84,0,32970.04,Tuesday,November,False,insurance
2023-06-01,MRI_0338,MRI Scanner,Radiology,12,2.1,0.18,3,525.14,0,44642.32,Thursday,June,False,insurance
2023-04-02,MAMMO_0339,Mammography Unit,Women's Health,15,13.3,0.89,11,4599.49,0,36292.42,Sunday,April,True,insurance
2023-12-31,XRAY_0340,X-Ray Machine,Radiology,20,4.3,0.21,10,1546.44,0,48166.98,Sunday,December,True,cash
2023-07-18,US_0341,Ultrasound,Radiology,12,9.9,0.83,20,7254.16,0,7119.24,Tuesday,July,False,cash
2023-01-15,CT_0342,CT Scanner,Radiology,20,19.3,0.97,19,2613.78,0,7852.49,Sunday,January,True,cash
2023-10-03,XRAY_0343,X-Ray Machine,Radiology,14,9.2,0.66,23,1913.72,0,20270.24,Tuesday,October,False,insurance
2023-01-02,MRI_0344,MRI Scanner,Radiology,9,1.5,0.17,4,7195.03,0,9326.57,Monday,January,False,cash
2023-04-01,US_0345,Ultrasound,Radiology,11,6.1,0.55,20,5617.39,0,30177.67,Saturday,April,True,insurance
2023-06-24,MRI_0346,MRI Scanner,Radiology,11,2.1,0.19,2,4966.62,0,23032.3,Saturday,June,True,insurance
2023-04-26,MAMMO_0347,Mammography Unit,Women's Health,20,6.5,0.33,20,5712.15,0,34710.31,Wednesday,April,False,cash
2023-06-12,CT_0348,CT Scanner,Radiology,9,7.4,0.82,13,5763.45,0,33378.09,Monday,June,False,cash
2023-07-23,MAMMO_0349,Mammography Unit,Women's Health,8,4.6,0.57,18,1356.7,0,49027.72,Sunday,July,True,insurance
2023-07-11,US_0350,Ultrasound,Radiology,12,10.2,0.85,15,4966.49,0,14039.82,Tuesday,July,False,cash
2023-06-30,MAMMO_0351,Mammography Unit,Women's Health,10,9.6,0.96,19,7359.9,0,22959.44,Friday,June,False,cash
2023-09-24,XRAY_0352,X-Ray Machine,Radiology,15,12.9,0.86,8,3166.07,0,18176.64,Sunday,September,True,cash
2023-02-10,XRAY_0353,X-Ray Machine,Radiology,8,6.7,0.84,21,4824.24,0,49763.8,Friday,February,False,insurance
2023-02-07,CT_0354,CT Scanner,Radiology,13,3.0,0.23,27,6630.33,0,14463.1,Tuesday,February,False,cash
2023-05-23,MAMMO_0355,Mammography Unit,Women's Health,18,10.0,0.56,28,2859.48,0,25038.25,Tuesday,May,False,cash
2023-12-26,MRI_0356,MRI Scanner,Radiology,10,2.3,0.23,2,5511.21,0,17630.62,Tuesday,December,False,cash
2023-11-25,CT_0357,CT Scanner,Radiology,15,5.5,0.37,7,4425.72,0,24693.41,Saturday,November,True,insurance
2023-04-10,CT_0358,CT Scanner,Radiology,17,4.3,0.25,17,4690.57,0,11914.01,Monday,April,False,insurance
2023-03-14,XRAY_0359,X-Ray Machine,Radiology,16,3.1,0.19,7,7221.49,0,29737.02,Tuesday,March,False,insurance
2023-05-30,MAMMO_0360,Mammography Unit,Women's Health,11,8.8,0.8,12,6791.4,0,41838.01,Tuesday,May,False,insurance
2023-01-16,CT_0361,CT Scanner,Radiology,13,12.6,0.97,6,5784.57,0,43355.65,Monday,January,False,insurance
2023-10-14,MRI_0362,MRI Scanner,Radiology,13,1.5,0.12,5,1943.61,0,38597.99,Saturday,October,True,insurance
2023-04-22,MAMMO_0363,Mammography Unit,Women's Health,17,6.7,0.39,27,1732.37,0,21928.53,Saturday,April,True,insurance
2023-12-23,XRAY_0364,X-Ray Machine,Radiology,17,15.9,0.94,24,4383.91,0,30415.1,Saturday,December,True,insurance
2023-11-04,XRAY_0365,X-Ray Machine,Radiology,11,7.2,0.65,13,1815.57,0,40041.73,Saturday,November,True,insurance
2023-02-04,MAMMO_0366,Mammography Unit,Women's Health,19,9.2,0.48,6,6958.95,0,1804.61,Saturday,February,True,insurance
2023-03-15,MRI_0367,MRI Scanner,Radiology,9,1.8,0.2,3,4866.15,0,44275.02,Wednesday,March,False,insurance
2023-01-18,US_0368,Ultrasound,Radiology,8,6.6,0.82,28,5640.4,0,42238.49,Wednesday,January,False,insurance
2023-04-28,MRI_0369,MRI Scanner,Radiology,15,2.4,0.16,2,1119.3,0,7134.66,Friday,April,False,insurance
2023-01-17,US_0370,Ultrasound,Radiology,8,7.6,0.95,28,7384.1,0,28980.48,Tuesday,January,False,insurance
2023-12-12,XRAY_0371,X-Ray Machine,Radiology,12,10.2,0.85,20,2790.35,0,15759.58,Tuesday,December,False,cash
2023-08-24,CT_0372,CT Scanner,Radiology,8,6.0,0.75,23,4668.72,0,23660.38,Thursday,August,False,insurance
2023-03-10,CT_0373,CT Scanner,Radiology,20,19.4,0.97,19,1786.24,0,10427.82,Friday,March,False,insurance
2023-05-26,US_0374,Ultrasound,Radiology,12,7.7,0.64,27,5732.68,0,36160.99,Friday,May,False,insurance
2023-06-19,CT_0375,CT Scanner,Radiology,8,6.7,0.84,12,6634.45,0,43570.6,Monday,June,False,insurance
2023-09-09,MRI_0376,MRI Scanner,Radiology,15,2.5,0.17,2,3706.4,0,7955.36,Saturday,September,True,insurance
2023-12-17,MAMMO_0377,Mammography Unit,Women's Health,13,12.5,0.96,9,3488.34,0,46515.62,Sunday,December,True,cash
2023-06-26,US_0378,Ultrasound,Radiology,11,10.3,0.94,20,4724.01,0,16297.7,Monday,June,False,cash
2023-09-08,US_0379,Ultrasound,Radiology,11,6.6,0.6,28,1341.69,0,18853.69,Friday,September,False,insurance
2023-03-23,MRI_0380,MRI Scanner,Radiology,16,2.7,0.17,1,4414.22,0,46614.89,Thursday,March,False,insurance
2023-12-16,US_0381,Ultrasound,Radiology,9,6.4,0.71,32,4490.46,0,25055.39,Saturday,December,True,cash
2023-01-25,XRAY_0382,X-Ray Machine,Radiology,19,7.0,0.37,9,6420.32,0,28744.15,Wednesday,January,False,cash
2023-09-10,MRI_0383,MRI Scanner,Radiology,15,0.7,0.05,2,7089.58,0,2595.04,Sunday,September,True,insurance
2023-12-29,US_0384,Ultrasound,Radiology,8,6.8,0.85,18,2256.86,0,40048.67,Friday,December,False,insurance
2023-03-09,XRAY_0385,X-Ray Machine,Radiology,15,3.7,0.25,17,2090.59,0,40064.03,Thursday,March,False,insurance
2023-08-27,MAMMO_0386,Mammography Unit,Women's Health,13,11.0,0.85,6,2935.65,0,13159.25,Sunday,August,True,insurance
2023-05-20,MRI_0387,MRI Scanner,Radiology,15,3.4,0.23,3,6146.11,0,22542.17,Saturday,May,True,cash
2023-01-30,XRAY_0388,X-Ray Machine,Radiology,12,6.7,0.56,24,4445.43,0,49035.62,Monday,January,False,insurance
2023-06-03,US_0389,Ultrasound,Radiology,11,10.1,0.92,16,2113.68,0,34545.24,Saturday,June,True,insurance
2023-10-03,US_0390,Ultrasound,Radiology,10,8.8,0.88,21,6706.11,0,36796.97,Tuesday,October,False,cash
2023-04-19,XRAY_0391,X-Ray Machine,Radiology,16,10.7,0.67,21,3251.37,0,46527.83,Wednesday,April,False,insurance
2023-05-04,XRAY_0392,X-Ray Machine,Radiology,9,4.1,0.46,30,3108.83,0,35685.64,Thursday,May,False,cash
2023-08-31,MRI_0393,MRI Scanner,Radiology,16,2.7,0.17,1,3127.19,0,22003.43,Thursday,August,False,insurance
2023-01-08,MAMMO_0394,Mammography Unit,Women's Health,19,5.0,0.26,27,1047.85,0,42564.76,Sunday,January,True,insurance
2023-11-08,MAMMO_0395,Mammography Unit,Women's Health,18,16.3,0.91,8,5465.08,0,30203.6,Wednesday,November,False,insurance
2023-07-13,XRAY_0396,X-Ray Machine,Radiology,10,7.0,0.7,11,6758.23,0,18125.3,Thursday,July,False,insurance
2023-11-09,MAMMO_0397,Mammography Unit,Women's Health,9,5.6,0.62,17,5033.54,0,19961.93,Thursday,November,False,cash
2023-03-25,CT_0398,CT Scanner,Radiology,19,4.6,0.24,11,6581.79,0,37921.83,Saturday,March,True,cash
2023-04-06,XRAY_0399,X-Ray Machine,Radiology,13,11.5,0.88,13,2861.21,0,31708.12,Thursday,April,False,cash
2023-08-15,XRAY_0400,X-Ray Machine,Radiology,15,12.4,0.83,24,2959.71,0,35726.96,Tuesday,August,False,insurance
2023-01-21,CT_0401,CT Scanner,Radiology,19,5.5,0.29,17,916.11,0,20910.34,Saturday,January,True,insurance
2023-09-01,MAMMO_0402,Mammography Unit,Women's Health,17,6.1,0.36,20,6715.47,0,32091.51,Friday,September,False,cash
2023-02-01,MRI_0403,MRI Scanner,Radiology,12,0.5,0.04,4,4808.32,0,45953.4,Wednesday,February,False,cash
2023-03-16,MAMMO_0404,Mammography Unit,Women's Health,9,4.6,0.51,6,2284.68,0,13596.5,Thursday,March,False,cash
2023-11-11,MAMMO_0405,Mammography Unit,Women's Health,9,7.7,0.86,30,3897.79,0,29811.84,Saturday,November,True,cash
2023-09-26,CT_0406,CT Scanner,Radiology,18,10.7,0.59,24,4029.65,0,37668.56,Tuesday,September,False,cash
2023-08-08,MAMMO_0407,Mammography Unit,Women's Health,13,12.7,0.98,18,3363.05,0,5470.9,Tuesday,August,False,insurance
2023-06-23,MRI_0408,MRI Scanner,Radiology,14,2.1,0.15,2,2130.69,0,15344.75,Friday,June,False,insurance
2023-10-02,MAMMO_0409,Mammography Unit,Women's Health,17,4.8,0.28,19,7060.1,0,35101.69,Monday,October,False,insurance
2023-05-29,MRI_0410,MRI Scanner,Radiology,8,1.0,0.12,5,849.92,0,42286.42,Monday,May,False,insurance
2023-10-30,MAMMO_0411,Mammography Unit,Women's Health,15,9.5,0.63,30,2288.08,0,2950.92,Monday,October,False,cash
2023-09-29,XRAY_0412,X-Ray Machine,Radiology,12,11.7,0.97,11,6383.48,0,44180.8,Friday,September,False,cash
2023-10-06,CT_0413,CT Scanner,Radiology,20,10.1,0.51,24,1185.05,0,2851.43,Friday,October,False,insurance
